OID,Id,DealId,Code,AssetPairId,Direction,Volume,AccountId,TradingConditionId,AccountAssetId,ExpectedOpenPrice,OpenMatchingEngineId,OpenDate,OpenTradeId,OpenPrice,OpenFxPrice,EquivalentAsset,OpenPriceEquivalent,RelatedOrders,LegalEntity,OpenOriginator,ExternalProviderId,SwapCommissionRate,OpenCommissionRate,CloseCommissionRate,CommissionLot,CloseMatchingEngineId,ClosePrice,CloseFxPrice,ClosePriceEquivalent,StartClosingDate,CloseDate,CloseOriginator,CloseReason,CloseComment,CloseTrades,LastModified,TotalPnL,ChargedPnl,HistoryType,DealInfo,HistoryTimestamp,OpenOrderType,OpenOrderVolume,FxAssetPairId,FxToAssetPairDirection,AdditionalInfo,ForceOpen,CorrelationId
4867891,II8MK68TBX,NULL,637996036987570320,CFD_US_XAUUSDPM,Long,2,202185912,Default,EUR,1669.59,STP,2022-10-11 12:46:32.913,II8MK68TBX,1669.52,1.02834636762354,EUR,1.02834636762354,[],Default,Investor,StarWarrant,0,0,0,0,NULL,1668.57,1.02834636762354,0,NULL,NULL,NULL,None,NULL,[],NULL,-1.95,0,Open,NULL,2022-10-11 12:46:32.917,Limit,2,EURUSD,Reverse,"{""CreatedBy"":""758179050"",""SessionId"":""00000404"",""GuiFlag"":0,""IsOnBehalf"":false,""WithOnBehalfFees"":false,""UserComments"":"""",""PlacedViaBulkOperation"":false,""PlacedWithParentOrder"":false,""PlacedViaClosePosition"":false}",1,pump-CFD_US_XAUUSDPM-b174dc734a744bb996447827ef37917b
4851132,JD36R8GJ7K,NULL,637996036987549087,CFD_DE_MINIDAX,Long,1,202179014,Default,EUR,NULL,STP,2022-10-07 07:38:23.810,JD36R8GJ7K,1243.54,1,EUR,1,[],Default,Investor,StarWarrant,0,0,0,0,NULL,1242.99,1,0,NULL,NULL,NULL,None,NULL,[],NULL,-0.55,0,Open,NULL,2022-10-07 07:38:23.813,Market,1,SymmetricAssetPair,Straight,"{""CreatedBy"":""735175416"",""SessionId"":""-247827850"",""GuiFlag"":0,""IsOnBehalf"":false,""WithOnBehalfFees"":false,""UserComments"":"""",""PlacedViaBulkOperation"":false,""PlacedWithParentOrder"":false,""PlacedViaClosePosition"":false}",1,orders-post-CFD_DE_MINIDAX-3117c6b0f4394110b0ea1dfc6a59dc81
4878438,L9QSZF9TBV,NULL,638012139935096337,CFD_US_INDU,Long,1,202151283,Default,EUR,NULL,STP,2022-10-13 05:32:33.207,L9QSZF9TBV,29269.77,1.03051350487948,EUR,1.03051350487948,[],Default,Investor,StarWarrant,0,0,0,0,NULL,29261.77,1.03051350487948,0,NULL,NULL,NULL,None,NULL,[],NULL,-8.24,0,Open,NULL,2022-10-13 05:32:33.207,Market,1,EURUSD,Reverse,"{""CreatedBy"":""500488733"",""SessionId"":""00000404"",""GuiFlag"":0,""IsOnBehalf"":false,""WithOnBehalfFees"":false,""UserComments"":"""",""PlacedViaBulkOperation"":false,""PlacedWithParentOrder"":false,""PlacedViaClosePosition"":false}",0,orders-post-CFD_US_INDU-36371544369b45b3b77ec3caad8d6bc4
4875583,M30HAO7COE,NULL,637996036987580212,CFD_DE_DAX,Short,-1,202187965,Default,EUR,NULL,STP,2022-10-12 13:34:58.287,M30HAO7COE,12154.41,1,EUR,1,[],Default,Investor,StarWarrant,0,0,0,0,NULL,12158.41,1,0,NULL,NULL,NULL,None,NULL,[],NULL,-4,0,Open,NULL,2022-10-12 13:34:58.287,Market,-1,SymmetricAssetPair,Straight,"{""CreatedBy"":""758213630"",""SessionId"":""-427922458"",""GuiFlag"":0,""IsOnBehalf"":false,""WithOnBehalfFees"":false,""UserComments"":"""",""PlacedViaBulkOperation"":false,""PlacedWithParentOrder"":false,""PlacedViaClosePosition"":false}",1,orders-post-CFD_DE_DAX-d1ba9eb9f7154fc08f6568c6e3322bad
4875220,MBXCW3PR63,NULL,637996036987579778,CFD_DE_MINIDAX,Long,1,202143851,Default,EUR,NULL,STP,2022-10-12 12:59:32.730,MBXCW3PR63,1217.62,1,EUR,1,[],Default,Investor,StarWarrant,0,0,0,0,NULL,1217.22,1,0,NULL,NULL,NULL,None,NULL,[],NULL,-0.4,0,Open,NULL,2022-10-12 12:59:32.730,Market,1,SymmetricAssetPair,Straight,"{""CreatedBy"":""500192426"",""SessionId"":""00000404"",""GuiFlag"":1,""IsOnBehalf"":false,""WithOnBehalfFees"":false,""PlacedViaBulkOperation"":false,""PlacedWithParentOrder"":false,""PlacedViaClosePosition"":false}",0,orders-post-CFD_DE_MINIDAX-a96f275f44ae45b5b28aee1260770074
4877409,OGJDM5RTNU,NULL,637996036987582602,CFD_DE_DAX,Short,-1,202152976,Default,EUR,NULL,STP,2022-10-12 17:12:22.803,OGJDM5RTNU,12196.85,1,EUR,1,[],Default,Investor,StarWarrant,0,0,0,0,NULL,12198.85,1,0,NULL,NULL,NULL,None,NULL,[],NULL,-2,0,Open,NULL,2022-10-12 17:12:22.803,Market,-1,SymmetricAssetPair,Straight,"{""CreatedBy"":""500832603"",""SessionId"":""430273783"",""GuiFlag"":0,""IsOnBehalf"":false,""WithOnBehalfFees"":false,""UserComments"":"""",""PlacedViaBulkOperation"":false,""PlacedWithParentOrder"":false,""PlacedViaClosePosition"":false}",0,orders-post-CFD_DE_DAX-8da1713c70064f379e125c992507042d
4876266,P14J8O61WX,NULL,637996036987581124,CFD_DE_MINIDAX,Short,-2,202174002,Default,EUR,NULL,STP,2022-10-12 14:28:30.337,P14J8O61WX,1221.41,1,EUR,1,[],Default,Investor,StarWarrant,0,0,0,0,NULL,1221.81,1,0,NULL,NULL,NULL,None,NULL,[],NULL,-0.8,0,Open,NULL,2022-10-12 14:28:30.337,Market,-2,SymmetricAssetPair,Straight,"{""CreatedBy"":""754304719"",""SessionId"":""1169740961"",""GuiFlag"":0,""IsOnBehalf"":false,""WithOnBehalfFees"":false,""UserComments"":"""",""PlacedViaBulkOperation"":false,""PlacedWithParentOrder"":true,""PlacedViaClosePosition"":false}",0,orders-post-CFD_DE_MINIDAX-df0b5adadeea42c8a7960da6936d7b39
4878339,PLWWF4FJ08,NULL,637996036987583762,CFD_DE_DAX,Short,-1,202152976,Default,EUR,NULL,STP,2022-10-12 19:57:00.813,PLWWF4FJ08,12167.39,1,EUR,1,[],Default,Investor,StarWarrant,0,0,0,0,NULL,12168.89,1,0,NULL,NULL,NULL,None,NULL,[],NULL,-1.5,0,Open,NULL,2022-10-12 19:57:00.813,Market,-1,SymmetricAssetPair,Straight,"{""CreatedBy"":""500832603"",""SessionId"":""-1359944620"",""GuiFlag"":0,""IsOnBehalf"":false,""WithOnBehalfFees"":false,""UserComments"":"""",""PlacedViaBulkOperation"":false,""PlacedWithParentOrder"":false,""PlacedViaClosePosition"":false}",0,orders-post-CFD_DE_DAX-5a1404a974dd4050be10c6e5069ba829
4875576,PO54ZKA0T3,NULL,637996036987580198,CFD_DE_DAX,Short,-1,202187965,Default,EUR,NULL,STP,2022-10-12 13:34:33.933,PO54ZKA0T3,12155.41,1,EUR,1,[],Default,Investor,StarWarrant,0,0,0,0,NULL,12157.41,1,0,NULL,NULL,NULL,None,NULL,[],NULL,-2,0,Open,NULL,2022-10-12 13:34:33.933,Market,-1,SymmetricAssetPair,Straight,"{""CreatedBy"":""758213630"",""SessionId"":""-427922458"",""GuiFlag"":0,""IsOnBehalf"":false,""WithOnBehalfFees"":false,""UserComments"":"""",""PlacedViaBulkOperation"":false,""PlacedWithParentOrder"":false,""PlacedViaClosePosition"":false}",1,orders-post-CFD_DE_DAX-33cb3fe645ca4f15b5343b2b2e883db7
4875035,Q2HKE1VBTM,NULL,637996036987579503,CFD_US_MININDX,Long,2,202148715,Default,EUR,NULL,STP,2022-10-12 12:36:56.490,Q2HKE1VBTM,1081.63,1.0314861136182,EUR,1.0314861136182,[],Default,Investor,StarWarrant,0,0,0,0,NULL,1081.28,1.0314861136182,0,NULL,NULL,NULL,None,NULL,[],NULL,-0.72,0,Open,NULL,2022-10-12 12:36:56.490,Market,2,EURUSD,Reverse,"{""CreatedBy"":""756009116"",""SessionId"":""-801686885"",""GuiFlag"":0,""IsOnBehalf"":false,""WithOnBehalfFees"":false,""UserComments"":"""",""PlacedViaBulkOperation"":false,""PlacedWithParentOrder"":false,""PlacedViaClosePosition"":false}",1,orders-post-CFD_US_MININDX-b472571d5536473e9ba8a7385fb80a45
